date,points,serial_number,violation_code,violation_description,violation_status
2021-08-25,2,DAH1XSRL6,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-08-26,1,DAH1XSRL6,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-08-27,1,DAH1XSRL6,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-08-28,1,DAH1XSRL6,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-08-29,2,DAFOCBEES,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-08-30,2,DAFOCBEES,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-08-31,1,DAFOCBEES,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-09-01,1,DAFOCBEES,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-09-02,2,DAFOCBEES,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-09-03,1,DACTLMTCZ,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-09-04,1,DACTLMTCZ,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-09-05,1,DACTLMTCZ,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2021-09-06,1,DAIZXWEYA,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-09-07,1,DAIZXWEYA,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-09-08,1,DAIZXWEYA,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-09-09,1,DAIZXWEYA,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-09-10,4,DAIZXWEYA,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-09-11,0,DAIZXWEYA,F049,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE
2021-09-12,1,DATP1AWP7,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-09-13,1,DATP1AWP7,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-09-14,1,DATP1AWP7,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-09-15,1,DATP1AWP7,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-09-16,1,DAOXCAPDU,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-09-17,1,DAOXCAPDU,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-09-18,1,DAOXCAPDU,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-09-19,1,DAOXCAPDU,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-09-20,1,DAGFZT0MG,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-09-21,1,DAGFZT0MG,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-09-22,1,DAGFZT0MG,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-09-23,2,DAGFZT0MG,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-09-24,1,DAGFZT0MG,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-09-25,1,DA41ITTXA,F041,# 41. Garbage and refuse properly disposed; facilities maintained,OUT OF COMPLIANCE
2021-09-26,1,DA41ITTXA,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-09-27,1,DA41ITTXA,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-09-28,1,DA41ITTXA,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-09-29,2,DA41ITTXA,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-09-30,1,DA41ITTXA,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-01,1,DA41ITTXA,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-10-02,1,DAJWSVZSM,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-03,1,DA04E02LR,F046,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE
2021-10-04,1,DA04E02LR,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-05,2,DA04E02LR,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-10-06,1,DA04E02LR,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-10-07,1,DA04E02LR,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-10-08,1,DA04E02LR,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-10-09,1,DA04E02LR,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-10-10,1,DA66KJONV,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-10-11,1,DA66KJONV,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-10-12,1,DA66KJONV,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-10-13,2,DA66KJONV,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-10-14,1,DA66KJONV,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-10-15,1,DAGIV93TU,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-10-16,1,DAGIV93TU,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-10-17,1,DAGIV93TU,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-18,4,DAGIV93TU,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-10-19,1,DAGIV93TU,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-10-20,2,DAGIV93TU,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-10-21,1,DAD5DQHKQ,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-10-22,1,DAD5DQHKQ,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-10-23,1,DAD5DQHKQ,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-10-24,4,DAD5DQHKQ,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-10-25,4,DAQ60UMR9,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-10-26,1,DAQ60UMR9,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-10-27,1,DAQ60UMR9,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-28,1,DAQ60UMR9,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-10-29,1,DAQ60UMR9,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-10-30,1,DAIOPNJI0,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-10-31,1,DAIOPNJI0,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2021-11-01,2,DAIOPNJI0,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-11-02,2,DAIOPNJI0,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-11-03,1,DAPISJLMG,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-11-04,1,DAPISJLMG,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-11-05,1,DAPISJLMG,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-06,1,DAPISJLMG,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-11-07,2,DAPISJLMG,F001,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE
2021-11-08,1,DAVXJOWG3,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-11-09,1,DAVXJOWG3,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-11-10,1,DAVXJOWG3,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-11-11,1,DAM0HDPEQ,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-11-12,1,DAM0HDPEQ,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-11-13,1,DAM0HDPEQ,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-14,1,DAM0HDPEQ,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-11-15,1,DAPGPWH01,F026,"# 26. Approved thawing methods used, frozen food maintained frozen",OUT OF COMPLIANCE
2021-11-16,1,DAPGPWH01,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-11-17,1,DAPGPWH01,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-18,1,DAPGPWH01,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-11-19,1,DAMDXZ0AI,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2021-11-20,1,DAMDXZ0AI,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-11-21,1,DAMDXZ0AI,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-22,1,DAMDXZ0AI,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-11-23,4,DAJOHUJWR,F005,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE
2021-11-24,4,DAJOHUJWR,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-11-25,1,DAJOHUJWR,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-11-26,1,DAJOHUJWR,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-27,1,DA5O2R7YX,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-11-28,2,DA5O2R7YX,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-11-29,1,DA5O2R7YX,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-11-30,1,DAIFMX5ZR,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-12-01,1,DAIFMX5ZR,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-12-02,1,DAIFMX5ZR,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-12-03,1,DAIFMX5ZR,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2021-12-04,1,DAHEIE0W3,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-12-05,1,DAHEIE0W3,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-12-06,1,DAHEIE0W3,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-12-07,1,DAHEIE0W3,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2021-12-08,2,DABN6MAZ5,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2021-12-09,0,DABN6MAZ5,F049,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE
2021-12-10,1,DABN6MAZ5,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-12-11,4,DABN6MAZ5,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-12-12,1,DABN6MAZ5,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-12-13,1,DABN6MAZ5,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-12-14,1,DABN6MAZ5,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-12-15,2,DA3HKC49D,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-12-16,1,DA3HKC49D,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-12-17,4,DA3HKC49D,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2021-12-18,1,DA3HKC49D,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-12-19,1,DA3HKC49D,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2021-12-20,1,DA3HKC49D,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2021-12-21,1,DAHRBAPUW,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2021-12-22,1,DAHRBAPUW,F034,"# 34. Warewashing facilities: Adequate, maintained, properly use, test strips available",OUT OF COMPLIANCE
2021-12-23,1,DAHRBAPUW,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2021-12-24,1,DAHRBAPUW,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2021-12-25,0,DAHRBAPUW,F049,# 50. Impoundment of unsanitary equipment or food,OUT OF COMPLIANCE
2021-12-26,1,DAHRBAPUW,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2021-12-27,1,DAHRBAPUW,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2021-12-28,2,DAHRBAPUW,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2021-12-29,2,DAHRBAPUW,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2021-12-30,2,DA1SRO0X8,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2021-12-31,1,DA1SRO0X8,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-01-01,2,DA1SRO0X8,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2022-01-02,1,DA1SRO0X8,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2022-01-03,1,DA1SRO0X8,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-04,1,DAYDBT0FT,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2022-01-05,1,DAYDBT0FT,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-01-06,1,DAYDBT0FT,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2022-01-07,1,DAYDBT0FT,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-01-08,1,DAYDBT0FT,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-09,2,DAYDBT0FT,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2022-01-10,1,DAQS2A2XO,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-01-11,1,DAQS2A2XO,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-01-12,1,DAQS2A2XO,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-01-13,2,DAQS2A2XO,F021,# 21b. Water available,OUT OF COMPLIANCE
2022-01-14,1,DAQS2A2XO,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-15,1,DAKW8AVRN,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2022-01-16,1,DAKW8AVRN,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-01-17,2,DAKW8AVRN,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2022-01-18,1,DAKW8AVRN,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-19,1,DAX0GASP3,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-20,2,DAX0GASP3,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2022-01-21,1,DAX0GASP3,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2022-01-22,2,DAD0JJ0ED,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-01-23,1,DAD0JJ0ED,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-01-24,2,DAUQQ8RRV,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-01-25,2,DAK7IDRMX,F023,"# 23. No rodents, insects, birds, or animals",OUT OF COMPLIANCE
2022-01-26,1,DAK7IDRMX,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-27,1,DAGNDPGEB,F026,"# 26. Approved thawing methods used, frozen food maintained frozen",OUT OF COMPLIANCE
2022-01-28,2,DAGNDPGEB,F052,# 01b. Food safety certification,OUT OF COMPLIANCE
2022-01-29,1,DAGNDPGEB,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-01-30,1,DA1MNCXYC,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-01-31,4,DA1MNCXYC,F005,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE
2022-02-01,1,DA1MNCXYC,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2022-02-02,1,DAM9XHJ5U,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2022-02-03,1,DAM9XHJ5U,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2022-02-04,1,DAM9XHJ5U,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-05,1,DAM9XHJ5U,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-02-06,1,DAM9XHJ5U,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-02-07,1,DACRY0I2O,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-08,1,DACRY0I2O,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-02-09,2,DACRY0I2O,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-02-10,1,DAYNXPYKQ,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-11,1,DA58VMU20,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2022-02-12,1,DA58VMU20,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-13,2,DAWXZBC2S,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-02-14,1,DAWXZBC2S,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2022-02-15,1,DAWXZBC2S,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2022-02-16,1,DAWXZBC2S,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-17,1,DAWXZBC2S,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-02-18,1,DAWXZBC2S,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-02-19,1,DAWXZBC2S,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-02-20,1,DAK7SGEXT,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-02-21,1,DAK7SGEXT,F038,# 38. Thermometers provided and accurate,OUT OF COMPLIANCE
2022-02-22,2,DAK7SGEXT,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2022-02-23,1,DAPEFEAIK,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2022-02-24,1,DAPEFEAIK,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-02-25,1,DAPEFEAIK,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2022-02-26,4,DAPEFEAIK,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2022-02-27,1,DAPEFEAIK,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-02-28,1,DAPEFEAIK,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2022-02-28,1,DAPEFEAIK,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-03-01,1,DA230MDSN,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-03-02,4,DA230MDSN,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-03-03,4,DA230MDSN,F005,# 05. Hands clean and properly washed; gloves used properly,OUT OF COMPLIANCE
2022-03-04,1,DAZQ2WMXZ,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-03-05,4,DAZQ2WMXZ,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2022-03-06,1,DAT96BAR3,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2022-03-07,1,DAT96BAR3,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-03-08,1,DAT96BAR3,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-03-09,1,DAT96BAR3,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-03-10,1,DAT96BAR3,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-03-11,4,DAT96BAR3,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-03-12,1,DAT96BAR3,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-03-13,1,DANHTHYUP,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-03-14,2,DANHTHYUP,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-03-15,1,DANHTHYUP,F030,# 30. Food properly stored; food storage containers identified,OUT OF COMPLIANCE
2022-03-16,1,DANHTHYUP,F040,"# 40. Plumbing: Plumbing in good repair, proper backflow devices",OUT OF COMPLIANCE
2022-03-17,1,DANHTHYUP,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-03-18,1,DANHTHYUP,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2022-03-19,1,DANHTHYUP,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2022-03-20,1,DA20XY5PX,F043,# 43. Premises; personal/cleaning items; vermin-proofing,OUT OF COMPLIANCE
2022-03-21,1,DA20XY5PX,F044,"# 44. Floors, walls and ceilings: properly built, maintained in good repair and clean",OUT OF COMPLIANCE
2022-03-22,1,DA20XY5PX,F025,# 25. Personal cleanliness and hair restraints,OUT OF COMPLIANCE
2022-03-23,1,DA20XY5PX,F029,"# 29. Toxic substances properly identified, stored, used",OUT OF COMPLIANCE
2022-03-24,1,DA20XY5PX,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-03-25,4,DAJTROS10,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-03-26,1,DAJTROS10,F046,# 46. Signs posted; last inspection report available,OUT OF COMPLIANCE
2022-03-27,1,DAJTROS10,F042,"# 42. Toilet facilities: properly constructed, supplied, cleaned",OUT OF COMPLIANCE
2022-03-28,2,DAJTROS10,F006,# 06. Adequate handwashing facilities supplied & accessible,OUT OF COMPLIANCE
2022-03-29,1,DAJTROS10,F037,"# 37. Adequate ventilation and lighting; designated areas, use",OUT OF COMPLIANCE
2022-03-30,1,DAJTROS10,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-03-31,1,DAYWNHHPK,F033,# 33. Nonfood-contact surfaces clean and in good repair,OUT OF COMPLIANCE
2022-04-01,1,DAYWNHHPK,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-04-02,1,DAFJJJVC8,F032,# 32. Food properly labeled & honestly presented,OUT OF COMPLIANCE
2022-04-03,1,DAFJJJVC8,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
2022-04-04,1,DAFJJJVC8,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2022-04-05,2,DAFJJJVC8,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2022-04-06,1,DAFJJJVC8,F036,"# 36. Equipment, utensils and linens: storage and use",OUT OF COMPLIANCE
2022-04-07,4,DAXXU4L6I,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-04-08,2,DAXXU4L6I,F014,# 14. Food contact surfaces: clean and sanitized,OUT OF COMPLIANCE
2022-04-09,2,DAXXU4L6I,F001,# 01a. Demonstration of knowledge,OUT OF COMPLIANCE
2022-04-10,4,DANW7GGIT,F007,# 07. Proper hot and cold holding temperatures,OUT OF COMPLIANCE
2022-04-11,1,DANW7GGIT,F035,"# 35. Equipment/Utensils - approved; installed; clean; good repair, capacity",OUT OF COMPLIANCE
2022-04-12,1,DANW7GGIT,F027,# 27. Food separated and protected,OUT OF COMPLIANCE
2022-04-13,1,DANW7GGIT,F039,# 39. Wiping cloths: properly used and stored,OUT OF COMPLIANCE
